英文原文,中文原文,libre译文,llama2译文,atom-7B译文,bleu_score_libre,bleu_score_llama2,bleu_score_atom-7B
""" he found an apartment , he was dating a girl , "" Louis Galicia told KGO .",Louis   Galicia   告诉   KGO ： “ Frank 找到 一间 公寓 ， 同时 在 跟 一个 女孩 交往 。 ”,""" 他找到一个公寓,他和一个女孩约会, "" Louis Galicia告诉KGO.","
他找到了一个公寓，他和一个女孩交往，路易斯·加利西亚告诉KGO。

(Note: 路易斯·加利西亚 is the name of a person, so it should be capitalized.)",他找到了一间公寓，他正在约会一个女孩，路易斯·加西亚告诉KGO。,0.323380833,0.132842233,0.3162277660168379
Louis Galicia said he could not think of anyone who would want to hurt his younger brother .,Louis   Galicia   表示 ， 他 想不出 有 谁 会 想要 加害 他 的 弟弟 。,"路易·加利西亚说,他想不出谁想伤害他弟弟.","
路易斯·加利西亚说，他无法想象任何人会想要伤害他的弟弟。",{路易斯·加利西亚说，他无法想象谁会想伤害他的弟弟。},0.165773625,0.314485451,0.27386127875258304
he was a kind spirit with a big heart .,Frank   拥有 善良 的 心地 及 宽阔 的 胸怀 。,他是一个善良的精神 有一颗大心脏.,"
他是一个善良的精神，有一颗大的心。 (tā shì yī gè shàn shēng de jīng shén, yǒu yī zhāng dà de xīn)",{他有一颗善良的心灵和宽阔的胸怀。},0.134839972,0.035714286,0.337099931231621
"his way of connecting with the family was always making us a dish , making us dinner , "" Louis Galicia said .",Louis   Galicia   称 ： “ Frank   经常 为 家人 烹饪 晚餐 。 ”,"他与家人联系的方式总是给我们做一盘菜,给我们做晚餐, "" 路易·加利西亚说:.","
他的連絡家庭的方式是總是為我們做飯，為我們做晚餐，說道 Луис·加利西亞。",他与家人连接的方式总是做给我们一道菜，做给我们晚餐， 路易斯·加西亚说。,4.31e-155,2.98e-155,4.717068855239749e-155
he never wanted to be in any kind of altercation .,他 从不 愿意 与 家人 争吵 。,他从不想在任何类型的争吵.,"
他从不想参与任何类型的争议。 (tā cóng bù xiǎng yù jǐn yě jīn zhèng yè de qiān yì)",他从不想要卷入任何冲突之中。,7.0300000000000005e-155,2.3300000000000002e-155,0.2182178902359924
he was the brother that went with the flow .,他 是 一个 随从 大家 意见 的 人 。,他是那个随流而去的兄弟.,"
他是一个懂得适应的哥哥。 (tā shì yī gè zhī dào de gēge)

Note: "" went with the flow"" can be translated as ""适应"" (zhī dào) in Chinese, which means to adapt or conform to a situation.",他是随波逐流的哥哥。,0.204124145,0.046752458,0.1740243594994629
""" with everything else that 's going wrong with the world , he was that diamond in the rough that was shining bright every day , "" he said .",Louis   Galicia   说 ： “ 世上 的 所有 事物 都 有 可能 出错 ， 但 Frank   称得上 是 一个 每天 都 发光 的 外 粗 内秀 之 人 。 ”,"他说, "" 世界上其他一切问题都发生在他身上,他就是每天闪耀明亮的粗糙钻石 "" .","
他是一颗钻石，在一切错乱的世界中发光，他每天都是那么耀眼。”他说。

(Note: Please keep in mind that the translation is in Simplified Chinese, which is the standard script used in mainland China. If you need Traditional Chinese translation, please let me know.)",{ 与一切其他与世相悖的事情相比，他就是那块在粗糙中闪烁着光芒的钻石，他说。},5.73e-155,0.043355498,4.728482855589079e-155
anyone with information is asked to call the SFPD Tip Line at 415  575  4444 .,有 线索 人士 请 拨打 旧金山 警察局 举报电话 415 - 575 - 4444 。,任何有信息的人 被要求拨打SFPD提示线 415 575 4444.,"
中文翻译：

任何人有信息请致电 SFPD 提示电话 415 575 4444。","""任何人若有关信息，请拨打SFPD 密报热线 415 575 4444。""",8.61e-155,8.15e-155,0.165748386032949
junior doctors strike : calls for fresh industrial action,初级 医生 罢工 ： 呼吁 新 的 劳工 行动,初级医生罢工:呼吁采取新的工业行动,"
 junior doctors strike: 呼吁resh industrial action 

(Note: ""junior doctors"" can be translated as ""当доктор"" in Chinese, and ""strike"" can be translated as ""罢工"". ""Calls for fresh industrial action"" can be translated as ""呼吁resh industrial action"" in Chinese.)",{年轻医生罢工：呼吁新的工业行动},0.483045892,2.64e-155,0.5163977794943222
representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract .,初级 医生 代表 号召 联盟 批准 其 针对 新 合同纠纷 采取 新 的 劳工 行动 。,初级医生的代表呼吁他们的工会在他们关于新合同的争议中批准新的工业行动.,"
union authorization fresh industrial action dispute new contract  representatives junior doctors","""下级医生代表已经呼吁他们的工会授权他们就新的合同进行新的工业行动。""",0.186096842,0.0,0.16903085094570333
the Junior Doctors Committee ( JDC ) of the British Medical Association ( BMA ) is to ask its full council to back more industrial action from early September .,英国 医学 协会 初级 医生 委员会 将 要求 其 全体成员 自 九月初 开始 支持 更 多 的 劳工 行动 。,英国医学协会(BMA)的初级医生委员会(JDC)要求其全体理事会从9月初起支持更多的工业行动.,"
英国医学会（BMA）的 Junior Doctors Committee（JDC）计划请求其全体委员会支持从9月初开始的更多工业行动。

(Note: 工业行动 (industrial action) is a common term used in China to refer to strikes or other forms of worker protests.)",{英国医学会（BMA）的初级医生委员会（JDC）计划在9月初向该组织全体理事会请求支持更多的工业行动。},0.370899094,0.059408853,0.26311740579210874
the JDC says ministers have failed to address concerns about the contract .,初级 医生 委员会 表示 ， 部长 们 未 解决 对于 合同 的 忧虑 。,"联合纪律委员会说,部长们没有解决对合同的关切.","
ministers have failed to address concerns about the contract 的翻译为中文为：

部长们未解决合同关注的问题。",[JDC说，部长们未能解决有关合同的问题],0.256776296,0.197385508,0.25323389070344454
junior doctors and medical students voted in July to reject a contract deal agreed with the BMA .,初级 医生 与 医科 学生 于 7 月份 投票 抵制 与 英国 医学 协会 达成 的 合同 交易 。,"7月,初级医生和医科学生投票否决与医学院商定的合同协议.","
 junior doctors and medical students 在七月份投票拒绝与英国医学会（BMA）达成的合同协议。",[年轻医生和医学生在七月投票拒绝与英国医学会达成的合同协议。],0.280094101,0.228695875,0.2470197778951428
it was rejected by 58 % of its members who voted in the ballot .,参与 投票 的 成员 中 ， 58 % 反对 该 合同 交易 。,投票结果被58%的议员否决.,"
translation:

被 58% 的成员投票否决。",{它被58%的投票的成员拒绝。},4.5200000000000005e-155,0.140384569,0.21139537144659198
"in a letter to members released on Twitter on Thursday night , the JDC 's chair Ellen McCourt said the government had remained "" persistently silent "" on issues which , she said , had resulted in the contract being rejected .",初级 医生 委员会 主席   Ellen   McCourt   在 周四 晚间 于 推特上 发表 的 一封 致 成员 信中 表示 ， 对于 导致 合同 遭到 抵制 的 问题 ， 政府 “ 一贯 保持沉默 ” 。,"在星期四晚上在推特上发表的一封致各成员的信中,联合发展委员会的主席Ellen McCourt说,政府一直对一些问题 "" 保持沉默 "" ,她说,这些问题导致合同被拒绝.","
我需要翻译的内容是：

“在一封于推特上发布的信函中，JDC的主席Ellen McCourt表示，政府在这些问题上一直保持沉默，这些问题导致合同被拒绝。”","""在周四晚通过Twitter发布的一封写给会员的信中，JDC主席Ellen McCourt表示，政府在相关问题上一直保持沉默，这导致了合同被拒绝。""",0.27050089,0.238365647,0.2459346884189824
"she said : "" in light of this , the JDC Executive has voted to reject the proposed new contract in full and to call for formal re  negotiations on all of your concerns . """,她 表示 ： “ 鉴于 此 ， 初级 医生 委员会 执行 委员会 已 投票 全盘 驳回 提议 的 新 合同 并 呼吁 就 所有 担忧 重新 进行 正式 协商 。 ”,"她说: "" 有鉴于此,联合纪律委员会执行官投票否决了拟议的新合同,并呼吁就你的所有关切进行正式再谈判。 ""","
她说：“considering this, JDC executive committee voting rejects the proposed new contract in its entirety and calls for formal renegotiations on all of your concerns.”

中文翻译：
她说：“考虑到这一点，JDC执行委员会投票拒绝提出的新合同，并呼吁进行所有您关心问题的正式重新谈判。”","""She said: 鉴于此，国际红十字会执行委员会已投票决定全面拒绝所提新合同，并就您的所有关切进行正式重新谈判。""",0.262612866,0.147937561,0.3042903097250923
"in response to the government 's silence , JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September .",针对 政府 的 沉默 态度 ， 初级 医生 委员会 执行 委员会 已 于 今日 正式 要求 英国 医学 协会 理事会 召开 特别 会议 批准 旨在 从 九月初 开始 升级 劳工 行动 的 一项 长期 计划 。,"为了回应政府的沉默,JDC执行官今天正式要求召开一次BMA理事会的特别会议,授权从9月初开始的不断升级的工业行动方案.","
我很好，请提供原文，我将负责翻译。

Here's the translation:

政府的沉默に對應，JDC 執行長今天已提出了一個特別會議的请求，該會議旨在授權 BMA 委員會實施从早ptember 開始的逐漸升級的工業行動。",政府对这一情况保持沉默，JDC高管今天向BMA理事会提出了正式请求，要求召开特别会议，授权从9月初开始实施持续升级的罢工行动计划。,0.216333148,0.078776099,0.13518604685166674
"the dispute has led to junior doctors taking part in six strikes this year , including the first all  out stoppages in the history of the NHS .",该 纠纷 已 导致 初级 医生 今年 共 参与 六次 罢工 ， 包括 英国 国家 医疗 服务体系 历史 上 的 首次 全面 罢工 。,包括国民保健体系历史上最先停工.,"
纠纷已经导致年轻医生参与了今年的六次罢工，包括国民医疗系统历史上的第一次全面停工。","""The dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the NHS."" 的翻译为：""争纷已经导致年轻医生在今年参与了六次罢工，包括英国国民医疗服务体系历史上第一次全面停工。""",0.04308491,0.305903642,0.16222142113076254
"the BMA 's junior doctor leader , Dr Johann Malawana , resigned following the vote to reject the negotiated terms of the contract , which the BMA had recommended .",英国 医学 协会 初级 医生 领导者   Johann   Malawana   博士 在 英国 医学 协会 所 推荐 的 合同 议定 条款 遭到 投票 抵制 之后 辞职 。,"医学院的初级医生领袖Johann Malawana博士在投票后辞职,拒绝医学院建议的合同谈判条款.","
英文译文：

BMA 的 junior doctor leader，Dr. Johann Malawana，辞职，这是在他们投票反对谈判妥协的合同条款后，BMA 曾经推荐这个合同。",{BMA的见习医生领袖，Johann Malawana医生，在投票拒绝合同中规定的条款后辞职。},0.299112072,0.1028689,0.11985491160273412
"he had told BMA members the deal was a good one that should be accepted , during meetings ahead of the poll of 54,000 junior doctors and medical students .","在 54 , 000 名 初级 医生 与 医科 学生 投票 之前 的 会议 中 ， 他 曾 对 英国 医学 协会 成员 表示 ， 该 交易 不错 ， 因此 应该 予以 接受 。",在54 000名初级医生和医科学生投票之前.,"
他在會議中告訴BMA成員，協議是一個不錯的，應該被接受，在54,000名青少年醫生和醫學生投票之前。","他告诉BMA成员交易是一个好的交易，应该被接受，在54,000名初级医生和医学生的投票之前举行的会议。",0.149495846,0.239997378,0.3696685767492729
"following the vote , Health Secretary Jeremy Hunt said the contract would be imposed on medics in England .",投票 后 ， 卫生部长   Jeremy   Hunt   表示 ， 该 合同 将 在 英格兰 医护人员 中 强制 实施 。,"jeremy Hunt表示, 合同将强加给英国的医护人员.","
ollowing the vote, 医疗 secretary Jeremy Hunt said the contract would be imposed on medics in England.

（ Following the vote, 医疗 secretary Jeremy Hunt said that the contract would be imposed on medics in England.）","""根据投票结果，英国卫生大臣杰里米·亨特表示，该合同将被英格兰的医务人员强制执行。""",0.197218752,0.036735918,0.21764287503300347
Russia and Turkey : an ' alliance of misfits ' ?,俄罗斯 与 土耳其 ： “ 格格不入 联盟 ” ？,"俄罗斯和土耳其: "" 不当联盟 "" ?","
俄罗斯和土耳其：一个“不适联盟”？","""俄罗斯和土耳其：‘不合拍联盟’？""",8.61e-155,1.0500000000000001e-154,9.134564559628536e-155
it was a gesture that ended a crisis .,一个 手势 结束 一场 危机 。,这是结束危机的姿态.,"
「它是一個結束危機的手勢。」","""It was a gesture that ended a crisis."" → ""这举动结束了危机。""",8.61e-155,0.0,4.839610530770974e-155
the leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight  month long war of words and economic sanctions .,俄罗斯 与 土耳其 领导人 周二 进行 会见 ， 双方 握手 并 宣布 正式 结束 长 达 八个 月 的 口水战 与 经济制裁 。,"俄罗斯和土耳其领导人星期二开会握手,宣布正式结束长达8个月的言行战争和经济制裁.","
中俄领袖在星期二会晤，宣布结束八个月的口头和经济制裁战争。","""俄罗斯和土耳其的领导者于周二会晤，握手言和，正式结束了持续了八个月的言辞之战和经济制裁。""",0.294255549,0.149902963,0.2309971510527054
"but , as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St. Petersburg palace , I got the distinct impression that Ankara wants this reconciliation the most .",然而 ， 当 弗拉基米尔 · 普京 在 一座 圣彼德 斯堡 宫殿 金碧辉煌 的 大厅 中 迎接 土耳其 总统 时 ， 我 有种 强烈 的 感觉 ： 此次 和解 是 安卡拉 最 希望 看到 的 。,"但是,当弗拉基米尔·普京在圣彼得堡宫殿的镀金大厅迎接他的土耳其同事时,我得到了一个明显的印象,即安卡拉最想实现这种和解.","
但是，当维ladimir Putin在圣彼得堡的一座宫殿的金色大厅里招待他的土耳其对手时，我有了一种明确的印象，即安卡拉最想要这种和解。",{但是，当弗拉基米尔·普京在圣彼得堡的镀金大厅里迎接他的土耳其同行时，我得到的印象是安卡拉最渴望这种和解。},0.238832574,0.161894031,0.34519814296214596
"there was the handshake , yes .",是 的 ， 双方 确实 握手 了 。,"有握手,对.","
其中有握手的场面，是的。

(Note: Please provide the actual text you want me to translate, and I'll be happy to assist you.)",{有握手，是的。},4.47e-155,0.054992668,0.2676810248362385
but Mr Putin 's smile looked thin and he was hardly oozing warmth even by his own restrained standards .,然而 ， 即使 是 按照 普京 先生 一向 内敛 的 标准 来看 ， 普京 也 只是 浅浅 微笑 ， 几乎 未 流露出 热情 之意 。,但普京先生的微笑看起来很薄.,"
但是普京的笑容看起来很瘦，他在自己的保守标准下几乎没有发挥出任何温暖。",{但是普京的微笑看起来很薄，他甚至连按照自己的标准来说也不怎么充满温暖。},0.055596762,5.8400000000000004e-155,0.11396468393301956
"Recep Tayyip Erdogan by contrast talked repeatedly of his "" dear friend "" Mr Putin - five times , according to one report .",据 报道 ， 雷杰普 · 塔伊 普 · 埃 尔多 安则 五次 提到 “ 好 朋友 ” 普京 。,"雷杰普·塔伊普 Erdogan反倒多次提到他的 "" 好朋友 "" 普京先生.","
 Erdogan 则常常称他的“亲友”普京 - 据报道，他这样提到了五次。",{ 相比之下，据一报道，Recep Tayyip Erdogan反复提及他的 亲爱的朋友 普京 - 五次。},0.34299717,0.144337567,0.12091270835166859
I lost count .,我 记不清 了 。,我数不清了.,"
我已经失去计数了。(wǒ yǐjīng shīshí jīn le)

Note: 失去 (shīshí) is a more idiomatic way to say ""lost"" in Chinese.","""I lost count."" 的中文翻译是 ""我数不清了。""。",1.0500000000000001e-154,3.18e-155,5.637975647982813e-155
"he also pledged that relations with Russia would return not just to their pre  crisis level , but even higher .",同时 ， 他 承诺 与 俄罗斯 的 关系 将 回归 至 危机 发生 前 的 水平 ， 甚至 达到 更 高水平 。,他保证与俄罗斯的关系不仅会恢复到危机前的水平.,"
他也誓言与俄罗斯的关系不仅会恢复到危机前的水平，而且会进一步提高。",他承诺，美俄关系不仅将恢复到危机前的水平，还要高于从前。,0.331689545,0.343155213,0.24223179431105524
the next day one newspaper here described Mr Erdogan as acting as if nothing bad had ever happened .,次日 ， 此间 一家 报纸 写 到 ， 埃 尔多 安 先生 则 表现 的 好像 什么 都 没 发生 一样 。,"第二天,有家报纸说埃尔多根先生的行为好像没有发生什么坏事一样.","
次日，这里的一家报纸描述埃尔多安为 if nothing bad had ever happened。 (lit. ""the next day, one newspaper here described Mr. Erdogan as if nothing bad had ever happened"")

Note: 埃尔多安 (Ē'ěrduō'ān) is the Chinese name for Recep Tayyip Erdogan, the President of Turkey.","""第二天，当地一家报纸报道称，埃尔多安表现得好像什么事情也没发生过一样。""",7.68e-155,0.067891873,0.36187343222787294
"to me , his enthusiasm implied the opposite .",但是 ， 我 认为 他 的 热情 暗示 了 某些 相反 的 东西 。,"对我来说,他的热情 暗示相反.","
他的热情对我而言， implified the opposite.

（他的热情表达了相反的意思）",{对他来说，我的热情暗示着相反的观点。},0.33130398,0.261968416,0.27740382852614875
but a lingering coolness emanating from Mr Putin showed that Russia 's leader has forgotten nothing .,然而 ， 普京 先生 持续 冷淡 的 态度 说明 他 什么 都 没有 忘记 。,俄罗斯领导人丝毫没有忘记.,"
但是由普京先生 emit 的潜在凉爽表明俄罗斯的领袖没有忘记任何事情。 (bùt shì yī jīn yòu pū tài pū tài zhèng yì zhī zhèng zhī xiǎng, pinyin: bùt shì yī jīn yòu pū tài pū tài zhèng yì zhī zhèng zhī xiǎng)",{但是，普京散发出的余凉表明俄罗斯的领导人没有忘记一切。},0.068060488,0.032770157,0.14824986333222023
"in fact , the cause of the crisis was the first thing he mentioned in his opening comments : Turkey 's shooting down of a Russian fighter plane on the Syrian border .",实际上 ， 他 在 开场白 中 提到 的 第一件 事 便是 此次 危机 的 原因 ： 土耳其 于 叙利亚 边境 击落 一架 俄罗斯 战机 。,"事实上,危机的起因是他在开场白中提到的第一件事: 土耳其在叙利亚边境击落一架俄罗斯战斗机.","
事实上，他在开场时第一个提到的问题就是土耳其在叙利亚边境上击落的俄罗斯战斗机。",事实上，危机的原因是他在开场白中提到的第一件事：土耳其击落了一架在叙利亚边境的俄罗斯战机。,0.589767825,0.239948013,0.6255432421712244
Moscow 's reaction at the time was furious .,莫斯科 当时 的 反应 很 激烈 。,莫斯科当时的反应是愤怒的.,"
 Moskva zhong yige shidai de fangzhen yi jie shengli de. (Москва中一个时代的反应非常愤怒的。)",[莫斯科当时的反应是愤怒。],0.46291005,0.053376051,0.46291004988627577
"Mr Putin lashed out , accusing Ankara of stabbing Moscow in the back .",普京 先生 针对 该 事件 进行 猛烈 抨击 ， 指责 安卡拉 在 背后 暗算 莫斯科 。,他指责安卡拉在背后捅了莫斯科.,"
Putin怒斥，accusing Ankara of 背叛莫斯科。(pū tíng bào fù, gào jì Ankara shuō mā de zhāo zhèng)",[普京先生猛烈抨击，指责安卡拉背信弃义，对莫斯科背后捅刀。],0.234341781,2.45e-155,0.39040759759995475
"the offence was even greater , coming from a supposed friend .",来自 所谓 朋友 的 攻击 更让人 难以 接受 。,更严重的犯罪 来自于一个所谓的朋友.,"
OFFENSEremains Even greater 由 supposed friend 来的。 (Chinese translation)

Can I help you with anything else?","""The offense was even greater, coming from a supposed friend."" 的翻译是：""罪行来得更大，竟然是出自一位所谓的朋友之手。""",9e-155,3.34e-155,4.717068855239749e-155
"rebuilding real trust will be hard , perhaps impossible .",双方 很难 ， 甚至 不 可能 重新 建立 真正 的 信任 。,"重建真正的信任将是困难的,也许是不可能的.","
重建真正的信任将是困难的，也许是不可能的。",{重建真正的信任将很困难，甚至可能不可能。},0.267261242,0.310086836,0.33968311024337877
Russian public opinion has also turned since November .,自 11 月份 开始 ， 俄罗斯 民意 也 有所 扭转 。,"自11月以来,俄罗斯的舆论也有所转变.","
 ""俄罗斯公众的看法也在十一月后转变。""","""[俄罗斯公众舆论也于十一月转向了。]""",0.275240941,6.36e-155,6.08970970641905e-155
"for months , state  controlled media conducted a staggering , all  out offensive against Ankara .",数月 来 ， 被 政府 控制 的 媒体 对 安卡拉 进行 了 令人震惊 的 全力 进攻 。,国家控制的媒体对安卡拉发动了惊人的进攻.,"
我需要翻译的内容是：

“持续多个月，国家控制的媒体发动了一场震撼的，全面的攻势 против安卡拉。”",{对于数月的时间，国家控制的媒体进行了惊人的全面进攻，对安卡拉进行了攻击。},0.352795629,0.125988158,0.3450327796711771
"all of a sudden , it seemed like Turks were to blame for everything .",突然 之间 ， 土耳其人 似乎 要 为 所有 事情 负责 。,"突然间,土耳其人似乎要为一切负责.","
我需要翻译的文本是：

""all of a sudden , it seemed like Turks were to blame for everything .""

翻译结果：

突然，好像所有的问题都是土耳其人的FAULT。",突然之间，似乎土耳其人要对一切都负责。,0.447213595,4.3700000000000005e-155,0.25831786022211856
most serious were accusations from top officials that Mr Erdogan 's own family has profited from an illegal trade in oil from areas of Syria controlled by the so  called Islamic State .,其中 ， 最 严重 的 是 来自 高级官员 的 指责 ： 埃 尔多 安 先生 的 家人 从 所谓 伊斯兰 国 控制 的 叙利亚 地区 的 非法 石油 交易 中 获利 。,更严重的是高层官员指控Erdogan先生自己的家人从叙利亚被所谓的伊斯兰国控制地区的非法石油贸易中获利.,"
「最 серьезные обвинения были выдвинуты высокопоставленными официальными лицами, что семья мистера Эрдогана сама получила прибыль от незаконной торговли нефтью из областей Сирии, контролируемых так называемым Исламским государством.»","""最严重的指控来自高级官员，称埃尔多安本人的家人从由所谓的伊斯兰国控制的叙利亚地区非法贸易中获利。""",0.46676133,1.04e-155,0.5375493464945589
he 's denied that emphatically .,他 已 断然 否认 该种 说法 。,他坚决否认这一点.,"
他 categorically denied that.

（他ketegrically denies that.）",他断然否认了。,7.29e-155,4.72e-155,0.23618327637050732
but in St. Petersburg came the official message that it 's time to move on .,然而 ， 圣彼德 斯堡 传来 的 消息 显示 ， 是 时候 该 向前 看 了 。,"但是在圣彼得堡,官方传来 是时候继续前进了.","
但在聖彼得堡接到官方消息，時間已經到了轉移的時候。 (bùt ài shèng bǐ tī bǎng qǐ yě jiāo fù xiān zhī shí jī zhī zhī zhī zhī zhī zhī zhī)",{但是，在圣彼得堡传来了正式消息，说该行动已经过时了。},0.145174288,2.68e-155,7.702941184607866e-155
"after all , this meeting only happened because Mr Putin got the apology he demanded from President Erdogan .",毕竟 此次 会面 的 前提 是 普京 收到 土耳其 总统 埃 尔多 安 的 道歉 。,"毕竟,这次会面只是因为普京先生得到了他要求埃尔多安总统的道歉.","
後来，这次会议只是因为普京得到了埃尔多根总统的道歉，才能够举行。 (qù lāi, zhè cì huì yì only shì yīn wēi Mr. Pǔjīn dé dào le yì kě yì de dào ài, shì zhè yì zhī yì de kě yì.)",{毕竟，这次会议之所以发生，是因为普京得到了从埃尔多安总统那里要求的道歉。},0.280975743,0.023952525,0.2513123449750173
Russia could claim a victory of sorts .,俄罗斯 可以 宣布 胜利 了 。,俄国可以取得胜利.,"
中国可以索性的胜利。 (Zhōng guó kě yì de shèng lì.)

Note: 索性 (suǒ xìng) means ""of sorts"" or ""somewhat"" in English.",{俄罗斯可以说取得某种胜利。},4.5200000000000005e-155,3.14e-155,0.23145502494313785
for Ankara the benefits of calling a truce are clear .,对于 安卡拉 来说 ， 休战 的 好处 显而易见 。,"对安卡拉来说,呼吁停战的好处是明确的.","
阿勒jlAnkara的停火利益是明确的。",{对于安卡拉而言，停火的好处是明显的。},0.246182982,5.27e-155,0.26967994498529685
